type	chapter_no	service_no	description_de	description_fr	description_it	valid_from	valid_until
chp	0		Allgemeines	Généralités	In generale	2027-01-01	2999-12-31
chp	1		Allgemeine Tarifziffern und Zusätze	Chiffres tarifaires généraux et compléments	Cifre tariffarie generali e supplementi	2021-01-01	9998-12-31
srv	1	1100	Administrative Gebühr, pauschal	Frais administratifs, forfait	Tassa amministrativa, forfait	2019-01-01	9998-12-31
srv	1	1101	Verpasster Termin, pauschal	Rendez-vous manqué, forfait	Appuntamento mancato, forfait	2019-01-01	9998-12-31
srv	1	1102	Nahrungsergänzungsmittel, pauschal	Compléments alimentaires, forfait	Integratori alimentari, forfait	2027-01-01	9998-12-31
srv	1	1103	Kinderbetreuung, pauschal	Garde d’enfants, forfait	Assistenza ai bambini, forfait	2027-01-01	9998-12-31
srv	1	1104	Trainingsmaterial, pauschal	Matériel d’entraînement, forfait	Materiali per l’allenamento, forfait	2027-01-01	9998-12-31
srv	1	1105	Aufgezeichnetes Onlinetraining	Entraînement en ligne enregistré	Allenamento online registrato	2027-01-01	9998-12-31
srv	1	1011	Solarium, Einzeleintritt	Solarium, entrée individuelle	Solarium, entrata singola	2019-01-01	9998-12-31
srv	1	9999	Angebote, die keiner Tarifziffer entsprechen	Offres qui ne correspondent à aucune position tarifaire	Offerte che non corrispondono a nessuna posizione tariffale	2022-01-01	9998-12-31
srv	1	9998	Livestream- und Livecoaching-Angebote	Offres de streaming et de coaching en direct	Offerte di livestreaming e livecoaching	2022-01-01	2026-12-31
chp	2		Pauschalangebote	Forfaits	Offerte forfettarie	2021-01-01	9998-12-31
chp	2.1		Fitness- und Gesundheitscenter und Bewegungsstudios	Centres de fitness et de santé, salles de sport	Centri fitness, centri per la salute e palestre	2027-01-01	9998-12-31
srv	2.1	1000	Training auf der Trainingsfläche, pro 1 Jahr	Entraînement dans l’espace dédié, par an	Allenamento in area apposita, 1 anno	2027-01-01	9998-12-31
srv	2.1	1001	Training auf der Trainingsfläche, pro 1 Monat	Entraînement dans l’espace dédié, par mois	Allenamento in area apposita, 1 mese	2019-01-01	9998-12-31
